window_id,p_divergent,p_convergent,p_incubation,p_conflict,predicted_phase,confidence
0,0.9999999999965321,0.0,0.0,3.4678247635421563e-12,divergent,0.9999999999965321
1,0.9999999999980019,0.0,0.0,1.9980546425015724e-12,divergent,0.9999999999980019
3,0.983776541226347,1.743679949960019e-05,0.0,0.016206021974153408,divergent,0.983776541226347
4,0.1306595520507449,0.20971193163338026,0.0,0.6596285163158748,conflict,0.6596285163158748
6,0.0,0.9999999999906236,0.0,9.37643699812546e-12,convergent,0.9999999999906236
7,0.07459463134508429,0.29830543507172846,0.0,0.6270999335831873,conflict,0.6270999335831873
9,0.9999999999985105,0.0,0.0,1.4895144381425343e-12,divergent,0.9999999999985105
10,0.7914426183744508,0.0037034171303318903,0.0,0.20485396449521717,divergent,0.7914426183744508
12,0.9999999998911953,0.0,0.0,1.0880472505466854e-10,divergent,0.9999999998911953
13,0.6086302831421745,0.016139221395303747,0.0,0.37523049546252174,divergent,0.6086302831421745
15,0.12567261412560865,0.21699490906049154,0.0,0.6573324768138998,conflict,0.6573324768138998
16,0.5319156316310091,0.02545110470269555,0.0,0.4426332636662953,divergent,0.5319156316310091
18,0.07131562271392493,0.33007117560897326,0.0,0.5986132016771019,conflict,0.5986132016771019
19,0.07744699333135865,0.3131539590420134,0.0,0.6093990476266279,conflict,0.6093990476266279
21,0.19885141470442982,0.13860718450284532,0.0,0.6625414007927248,conflict,0.6625414007927248
22,3.646136033574781e-06,0.9920249850552086,0.0,0.007971368808757717,convergent,0.9920249850552086
24,0.08733963577525951,0.2886309150943791,0.0,0.6240294491303614,conflict,0.6240294491303614
25,0.0,0.9999999999869764,0.0,1.3023590005540624e-11,convergent,0.9999999999869764
27,0.0,0.9999999999840261,0.0,1.5973898694581863e-11,convergent,0.9999999999840261
28,0.0,0.999999999999481,0.0,5.189826326210257e-13,convergent,0.999999999999481
