window_id,p_divergent,p_convergent,p_incubation,p_conflict,predicted_phase,confidence
0,0.9999999999976329,0.0,0.0,2.3671077752993743e-12,divergent,0.9999999999976329
1,0.9999999999981193,0.0,0.0,1.8807230245811956e-12,divergent,0.9999999999981193
3,0.9903822669470647,6.036408223595681e-06,0.0,0.00961169664471166,divergent,0.9903822669470647
4,0.1306595520507449,0.20971193163338026,0.0,0.6596285163158748,conflict,0.6596285163158748
6,0.0,0.9999999999948087,0.0,5.191244345565727e-12,convergent,0.9999999999948087
7,0.021819783472921822,0.5589034619356434,0.0,0.41927675459143476,convergent,0.5589034619356434
9,0.9999999999985105,0.0,0.0,1.4895144381425343e-12,divergent,0.9999999999985105
10,0.7914426183744508,0.0037034171303318903,0.0,0.20485396449521717,divergent,0.7914426183744508
12,0.9999999998911953,0.0,0.0,1.0880472505466854e-10,divergent,0.9999999998911953
13,0.5963777523195064,0.01742671502664442,0.0,0.3861955326538491,divergent,0.5963777523195064
15,0.12567261412560865,0.21699490906049154,0.0,0.6573324768138998,conflict,0.6573324768138998
16,0.4852876858862222,0.032792183846412935,0.0,0.48192013026736497,divergent,0.4852876858862222
18,0.07131562271392493,0.33007117560897326,0.0,0.5986132016771019,conflict,0.5986132016771019
19,0.07744699333135865,0.3131539590420134,0.0,0.6093990476266279,conflict,0.6093990476266279
21,0.21338017555030278,0.1281153612458489,0.0,0.6585044632038484,conflict,0.6585044632038484
22,3.646136033574781e-06,0.9920249850552086,0.0,0.007971368808757717,convergent,0.9920249850552086
24,0.08733963577525951,0.2886309150943791,0.0,0.6240294491303614,conflict,0.6240294491303614
25,0.0,0.9999999999869764,0.0,1.3023590005540624e-11,convergent,0.9999999999869764
27,0.0,0.9999999999793336,0.0,2.0666436394798875e-11,convergent,0.9999999999793336
28,0.0,0.999999999999481,0.0,5.189826326210257e-13,convergent,0.999999999999481
